1,Wyoming,7.25
2,West Virginia,8.40
3,Iowa,8.49
4,North Dakota,8.52
5,Montana,9.05
6,Alaska,9.33
7,Maine,9.50
8,Nebraska,9.75
9,South Dakota,9.98
10,Vermont,10.17
11,Idaho,10.49
12,Mississippi,10.57
13,Arkansas,11.36
14,New Mexico,11.67
15,Oklahoma,12.00
16,Kansas,12.12
17,Oregon,12.12
18,Alabama,12.25
19,Hawaii,13.04
20,Utah,13.39
21,South Carolina,13.52
22,Wisconsin,13.68
23,North Carolina,14.80
24,Missouri,16.38
25,Kentucky,17.21
26,New Hampshire,18.28
27,Indiana,18.93
28,Ohio,19.19
29,Louisiana,19.59
30,Connecticut,19.77
31,Rhode Island,21.00
32,Tennessee,21.29
33,Nevada,21.78
34,Michigan,23.63
35,Pennsylvania,24.24
36,Arizona,27.32
37,Colorado,27.34
38,Delaware,28.06
39,Virginia,32.56
40,Florida,33.87
41,Minnesota,35.07
42,Washington,37.40
43,Texas,38.73
44,Maryland,39.32
45,Illinois,44.11
46,Massachusetts,44.27
47,Georgia,51.55
48,California,60.91
49,New York,62.76
50,New Jersey,70.15
,Weighted Average,34.77
