1,Massachusetts,0.24
2,Rhode Island,0.50
3,Maryland,0.60
4,Connecticut,0.66
5,Ohio,0.69
6,Minnesota,0.70
7,Michigan,0.70
8,Vermont,0.71
9,Washington,0.79
10,New Jersey,0.99
11,Maine,1.01
12,Virginia,1.02
13,Wisconsin,1.03
14,South Dakota,1.03
15,Illinois,1.06
16,Louisiana,1.09
17,Tennessee,1.10
18,New Hampshire,1.14
19,Delaware,1.16
20,Pennsylvania,1.19
21,Iowa,1.20
22,North Dakota,1.26
23,Kentucky,1.27
24,Missouri,1.29
25,Nebraska,1.29
26,Oklahoma,1.31
27,West Virginia,1.34
28,Georgia,1.37
29,Indiana,1.38
30,Wyoming,1.44
31,Utah,1.45
32,Nevada,1.49
33,Colorado,1.51
34,New Mexico,1.56
35,Montana,1.60
36,Arizona,1.61
37,Alaska,1.64
38,Texas,1.65
39,Arkansas,1.72
40,Alabama,1.81
41,Idaho,1.89
42,Oregon,2.06
43,South Carolina,2.08
44,Kansas,2.23
45,New York,2.27
46,Mississippi,2.47
47,California,3.18
48,Florida,3.87
49,North Carolina,4.90
50,Hawaii,6.99
,Weighted Average,1.71
