1,Maine,0.00
1,New Hampshire,0.00
1,New Jersey,0.00
1,Rhode Island,0.00
1,Vermont,0.00
6,Florida,0.14
7,Kansas,0.16
8,Illinois,0.16
9,North Dakota,0.20
10,Utah,0.29
11,Tennessee,0.32
12,Kentucky,0.32
13,Nevada,0.45
14,Virginia,0.50
15,Oregon,0.61
16,Alabama,0.71
17,Missouri,0.71
18,Nebraska,0.73
19,Montana,0.82
20,North Carolina,0.93
21,West Virginia,0.98
22,Texas,1.00
23,South Dakota,1.05
24,Wyoming,1.24
25,New Mexico,1.31
26,Idaho,1.35
27,Maryland,1.41
28,South Carolina,1.47
29,Arizona,1.53
30,Georgia,1.54
31,Ohio,1.56
32,Pennsylvania,1.58
33,Iowa,1.71
34,Michigan,2.14
35,Minnesota,2.14
36,Oklahoma,2.50
37,Massachusetts,2.82
38,Mississippi,3.07
39,Louisiana,3.23
40,Arkansas,3.42
41,New York,3.44
42,Connecticut,3.45
43,Indiana,3.46
44,Wisconsin,4.15
45,California,4.90
46,Washington,5.83
47,Colorado,6.48
48,Alaska,10.64
49,Delaware,NA
50,Hawaii,NA
,Weighted Average,1.96
