1,Kentucky,$490
2,Nebraska,$846
3,Arkansas,$916
4,Missouri,$928
5,Maine,"$1,142"
6,Louisiana,"$1,228"
7,South Carolina,"$1,310"
8,North Dakota,"$1,343"
9,West Virginia,"$1,362"
10,North Carolina,"$1,524"
11,Texas,"$1,873"
12,Montana,"$2,175"
13,Idaho,"$2,451"
14,Mississippi,"$2,587"
15,Iowa,"$2,650"
16,Kansas,"$2,772"
17,Wyoming,"$3,004"
18,South Dakota,"$3,100"
19,Ohio,"$3,119"
20,Virginia,"$3,143"
21,Indiana,"$3,544"
22,Illinois,"$3,890"
23,Minnesota,"$4,687"
24,Tennessee,"$4,740"
25,Michigan,"$5,107"
26,New Hampshire,"$5,260"
27,Colorado,"$5,337"
28,Pennsylvania,"$5,408"
29,Utah,"$5,414"
30,Washington,"$5,451"
31,Oregon,"$5,968"
32,Alaska,"$6,078"
33,Wisconsin,"$6,916"
34,Hawaii,"$7,001"
35,Alabama,"$7,151"
36,Maryland,"$7,418"
37,Florida,"$7,780"
38,Oklahoma,"$8,484"
39,New Mexico,"$9,659"
40,Vermont,"$9,928"
41,Georgia,"$10,638"
42,Arizona,"$10,954"
43,New York,"$11,315"
44,California,"$11,357"
45,Nevada,"$12,468"
46,New Jersey,"$14,035"
47,Rhode Island,"$17,162"
48,Massachusetts,"$23,950"
49,Delaware,"$25,120"
50,Connecticut,"$35,028"
,Weighted Average,"$4,501"
