1,South Carolina,"$13,255"
2,West Virginia,"$19,625"
3,Missouri,"$23,534"
4,South Dakota,"$23,700"
5,North Carolina,"$24,547"
6,New Mexico,"$28,187"
7,Montana,"$29,299"
8,Wyoming,"$30,441"
9,Mississippi,"$34,883"
10,Arkansas,"$35,878"
11,North Dakota,"$37,024"
12,Virginia,"$37,875"
13,Nebraska,"$39,228"
14,Tennessee,"$40,138"
15,Maine,"$41,847"
16,Alabama,"$44,077"
17,Louisiana,"$45,621"
18,Kentucky,"$45,829"
19,Kansas,"$53,157"
20,Iowa,"$55,065"
21,Oregon,"$57,173"
22,Georgia,"$58,772"
23,Idaho,"$59,373"
24,New Hampshire,"$64,176"
25,Minnesota,"$70,740"
26,Vermont,"$72,032"
27,Texas,"$72,622"
28,Ohio,"$75,849"
29,Alaska,"$77,165"
30,Indiana,"$78,475"
31,Utah,"$79,029"
32,Arizona,"$84,551"
33,Colorado,"$84,695"
34,Nevada,"$88,236"
35,Washington,"$90,702"
36,Wisconsin,"$93,376"
37,Oklahoma,"$94,664"
38,Michigan,"$99,626"
39,Pennsylvania,"$101,129"
40,California,"$125,397"
41,Hawaii,"$126,932"
42,Illinois,"$143,606"
43,Delaware,"$164,801"
44,Maryland,"$181,323"
45,Rhode Island,"$194,769"
46,Connecticut,"$209,157"
47,New York,"$215,466"
48,Massachusetts,"$216,066"
49,Florida,"$241,100"
50,New Jersey,"$511,266"
,Weighted Average,"$71,117"
